Akun,Tweet,Lokasi
https://twitter.com/MIEGETSCOE4N,@fery_dsaputra @NephiLaxmus @ganjarpranowo @karanganyarkab Dekat rumah ane juga parah..pantes kalo tes bikin SIM Harus bikin angka 8 dan kelak kelok biar ga kaget lagi kalo jalanan nya bolong kabeh,
https://twitter.com/Ary_Prasetyo85,"Gubernur Jawa Tengah @ganjarpranowo kembali mengingatkan pentingnya integritas aparatur sipil negara (ASN) dan pejabat publik.

#SahabatGanjar #Ganjar #ganjarpranowo https://t.co/mbyoWRYThk",
https://twitter.com/septhyy_yy,@GanjaranApp @ganjarpranowo sangat bangga memiliki sosok gubernur yang responsif,
https://twitter.com/WangsaPersada,"@ganjarpranowo @LaporGub_ Mampu tidak mengatasi masalah yang timbul, selama ini cuma menambah atau menimbulkan masalah",
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan TELFORD ditutup dengan Lapen Sheet 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/xuFEh73cFQ",
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan Tambal Lubang dengan COR
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/GkD8QqRYsq",
https://twitter.com/EdyJanto007,@ganjarpranowo https://t.co/0y8Hni8s6M,
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan Tambal Lubang dengan COR
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/tTOTcqLueB",
https://twitter.com/teguhhh_berst,@GanjaranApp @ganjarpranowo responsif sekalii yaa pak ganjar ini terhadap banjir,
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan Sudetan di Bahu Jalan 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/6wJ0RRPhSC",
https://twitter.com/theT4ntryS1,"Ternyata Pak @ganjarpranowo  jg mengikuti Rakornas Penanggulangan Bencana 2023.

Pak Ganjar mendorong seluruh kepala daerah utk mengadakan kegiatan latihan tanggap bencana di daerahnya masing² secara rutin  agar seluruh pihak dpt mengantisipasi &amp; menanggulangi bencana dgn sigap. https://t.co/WVagcCUXGG",
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan TELFORD ditutup dengan Lapen Sheet 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/Il5KZqIhkq",
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan TELFORD ditutup dengan Lapen Sheet 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/j33joGbL5x",
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan TELFORD ditutup dengan Lapen Sheet 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/Ztq2FEuTwH",
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan TELFORD ditutup dengan Lapen Sheet 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/k0iKYqbtwJ",
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan TELFORD ditutup dengan Lapen Sheet 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/8LHeQygXan",
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan TELFORD ditutup dengan Lapen Sheet 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/KPvJ5n6p5C",
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan TELFORD ditutup dengan Lapen Sheet 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/zkR9CdeJH5",
https://twitter.com/rizki22em,"@EpoArdiansyah @ganjarpranowo @LaporGub_ Betul sekali,sudah banyak beberapa kasus kecelakaan diantaranya gara gara lubang jalan dan minimnya  penerangan jalan di beberapa jalan kabupaten Brebes masih banyak jalan berlubang dan penerangan jalan","Place(id='0c03f2b6f371003e', fullName='Larangan, Indonesia', name='Larangan', type='city', country='Indonesia', countryCode='ID')"
https://twitter.com/bumiitubundar__,@GanjaranApp @ganjarpranowo sangatt salut dengan kesigapan yang dilakukan oleh pak ganjar,
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan TELFORD 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/heZasese0o",
https://twitter.com/mandaaurale,@GanjaranApp @ganjarpranowo bangga banget sih sama Pak Ganjar ini yg terus memberikan yg terbaik untuk kenyamanan masyarakat nya,
https://twitter.com/sopian4721,@GanjaranApp @ganjarpranowo sangat salutt dengan pak ganjar yang selalu bergerak cepat,
https://twitter.com/dimashord,@GanjaranApp @ganjarpranowo Pak Ganjar ini pemimpin yang sangat dibutuhkan masyarakat saat ini dengan kepedulianya insyaallah masyarakat akan sejahtera,
https://twitter.com/trym110,@GanjaranApp @ganjarpranowo Memang selalu berstrategi untuk menangani seperti banjir. Pak ganjar pemimpin peduli,
https://twitter.com/idang6498,@GanjaranApp @ganjarpranowo Sigap menangani bencana seperti banjir. Pak ganjar memang pemimpin peduli,
https://twitter.com/iamnotgood___,@GanjaranApp @ganjarpranowo penyebab banjir kudus dapat diketahui berkat langkah cepat pak ganjar,
https://twitter.com/karmuji_ndes,@GanjaranApp @ganjarpranowo semoga pak Ganjar Pranowo menjadi presiden Indonesia,
https://twitter.com/TohirBambang01,@GanjaranApp @ganjarpranowo kita butuh presiden yg sigap seperti pak Ganjar,
https://twitter.com/aan_muba,"@ganjarpranowo juga akan menghubungi Pangdam IV Diponegoro untuk bantuan tenaga. Sinergi ini dilakukan agar tidak terjadi lagi tanggul jebol.

#GANTARI 🇲🇨

https://t.co/RYymNHKv8i https://t.co/njfeZbmq9P",
https://twitter.com/yudhis__1,@GanjaranApp @ganjarpranowo pak ganjar selalu gercep bangett yaa dalam urusan penanganan banjir,
https://twitter.com/Jokond0,@aan_muba @MarcosLynd @ganjarpranowo 👍👍👍👍,
https://twitter.com/Jaelani_pertama,@GanjaranApp @ganjarpranowo benar2 mengabdi kepada daerah pimpinannya,
https://twitter.com/Ary_Prasetyo85,"Pengecatan Perahu Nelayan dilakukan Sahabat Ganjar di Kabupaten Ogan Komering Ilir, Sumatera Selatan.

#SahabatGanjar #Ganjar #ganjarpranowo https://t.co/ct5aXuB6uW",
https://twitter.com/calvinkv,@GanjaranApp @ganjarpranowo Emang Pak Ganjar Bikin bangga banget dah,
https://twitter.com/NugrohoSanusi,"@GanjaranApp @ganjarpranowo kasian warga Kudus ,untungnya pak Ganjar melakukan aksi cepatt",
https://twitter.com/dinda24946,@GanjaranApp @ganjarpranowo salut banget sih sama kinerja pak Ganjar,
https://twitter.com/cxsjade,@GanjaranApp @ganjarpranowo Keren sih Pak Ganjar langsung melakukan perbaikan tanggul tersebut,
https://twitter.com/vtdiazz,@GanjaranApp @ganjarpranowo Nah mantap nih Pak Ganjar memang selalu merespon cepat,
https://twitter.com/mamat7_6,@GanjaranApp @ganjarpranowo pak ganjar selalu gercep dalam mengatasi masalah,
https://twitter.com/hari_mawon,@ch_chotimah2 @ganjarpranowo Cebong betina tapi Cowok...🐸🙉🥴,
https://twitter.com/erranggartv,"@GanjaranApp @ganjarpranowo hebat emang kinerja pak Ganjar ini,semangat terus pak!",
https://twitter.com/xwvendy,@GanjaranApp @ganjarpranowo Pak Ganjar memang selalu merespon cepat jika ada masalah,
https://twitter.com/Ary_Prasetyo85,"Menangkan Total Hadiah senilai 14.500.000, Yuk langsung registrasi di: https://t.co/2vzPntHC0P

#SahabatGanjar #Ganjar #ganjarpranowo https://t.co/aqp1t1EAV1",
https://twitter.com/Ary_Prasetyo85,"Halooo Mahasiswa/i, Turnamen Offline Mobile Legends SAGA Esports hadir di Kota Tangerang Selatan, Banten.

Turnamen Offline Mobile Legends SAGA Esports akan dilaksanakan pada hari Senin 20 Maret 2023. 
#SahabatGanjar #Ganjar #ganjarpranowo https://t.co/6yMpyyG1a6",
https://twitter.com/ferdyy4_,@GanjaranApp @ganjarpranowo pemimpin terbaik dalam mengatasi masalah,
https://twitter.com/zuzu_zulkarnain,@GanjaranApp @ganjarpranowo bangga banget emang punya pemimpin seperti pak Ganjar ini cepat dalam mengatasi,
https://twitter.com/Soumintoo,@GanjaranApp @ganjarpranowo langsung terjun langsung ke masyarakat,
